model_name,accuracy,hamming,f1_score_micro,f1_score_macro,recall_score_micro,recall_score_macro,precision_score_micro,precision_score_macro,avg_val_loss
ai-forever/rubert-base,0.2073272659732541,0.4969656298175986,0.6022326861012645,0.49659224434481825,0.5647238594193408,0.4548001700175307,0.6450786598358798,0.6012811209464977,0.15906560829645824
cointegrated/rubert-tiny2,0.1848068350668648,0.45661111888359285,0.5620670989693227,0.4302051350749167,0.5048520569149253,0.3759830405370341,0.6339081032592445,0.5449650749416163,0.1661962580119061
facebookai/xlm-roberta-base,0.19864413075780088,0.4859771899101394,0.5916173812604945,0.491563439809995,0.5488876982000754,0.44199821141715123,0.6415615141955836,0.5847509155595825,0.16579413075155902
geotrend/distilbert-base-ru-cased,0.1923755572065379,0.4714961065896709,0.57949544210993,0.4772229613002447,0.5317417792859837,0.42175272151333354,0.6366725276814142,0.5747813785176422,0.16867945598272366
tfidf_catboost_ngram_1_1,0.13033989598811294,0.32617855447652067,0.4485422836459362,0.33508155831837705,0.3381357782143637,0.24436061645205265,0.6660021888680425,0.6030701758471307,
tfidf_catboost_ngram_1_2,0.13038632986627044,0.35295240232670577,0.48184769956503093,0.3695559676993153,0.39020856899049433,0.2903634481481876,0.6297399436331027,0.5623829939666368,
tfidf_logreg_ngram_1_1,0.07336552748885587,0.4153735216873682,0.5540781745126869,0.4783375735090204,0.6991923160881903,0.6448176861014628,0.45884666475659625,0.38494126809556095,
tfidf_logreg_ngram_1_2,0.10294390787518573,0.4429757536091118,0.5769691486777407,0.49395898991861104,0.6834355341231569,0.6010876897197946,0.4992027599002725,0.4278171096073738,
